x,y
193.0,21.0
193.0,23.0
193.0,24.0
193.0,25.0
193.0,26.0
194.0,26.0
194.0,27.0
195.0,27.0
195.0,28.0
195.0,29.0
196.0,29.0
196.0,30.0
196.0,31.0
197.0,31.0
197.0,32.0
197.0,33.0
198.0,33.0
198.0,34.0
197.0,35.0
198.0,35.0
198.0,36.0
198.0,37.0
197.0,38.0
198.0,38.0
198.0,39.0
197.0,40.0
198.0,40.0
199.0,40.0
199.0,41.0
198.0,42.0
199.0,42.0
190.0,47.0
199.0,43.0
199.0,44.0
198.0,45.0
199.0,45.0
200.0,45.0
200.0,46.0
198.0,47.0
200.0,47.0
198.0,48.0
200.0,48.0
199.0,49.0
200.0,49.0
199.0,50.0
201.0,50.0
199.0,51.0
201.0,51.0
192.0,53.0
202.0,52.0
190.0,54.0
202.0,53.0
203.0,54.0
192.0,55.0
203.0,55.0
184.0,129.0
183.0,130.0
172.0,130.0
183.0,131.0
183.0,132.0
182.0,132.0
182.0,133.0
180.0,133.0
182.0,134.0
171.0,133.0
181.0,135.0
180.0,136.0
178.0,136.0
180.0,137.0
180.0,138.0
179.0,138.0
